"X","FirstName","LastName","Position","Origin","Destination","TransferDate","Rating","Stars","Eligibility","Team","Transfer","Player","Team_New"
947,"Sidney","Fugar","OT","South Carolina","Baylor","2024-04-24T19:48:00.000Z",0.84,3,"Immediate","Baylor",TRUE,"Sidney Fugar","south-carolina"
948,"James","Brockermeyer","IOL","Alabama","TCU","2024-04-24T19:28:00.000Z",0.87,3,"Immediate","TCU",TRUE,"James Brockermeyer","alabama"
949,"Jordan","Robinson","CB","Kentucky","Cincinnati","2024-04-24T19:19:00.000Z",0.85,3,"Immediate","Cincinnati",TRUE,"Jordan Robinson","kentucky"
950,"Rico","Watkins","CB","East Carolina","","2024-04-24T17:42:00.000Z",NA,3,"Immediate","East Carolina",FALSE,"Rico Watkins","east-carolina"
951,"Marquis","Montgomery","TE","California","BYU","2024-04-24T16:28:00.000Z",NA,3,"Immediate","BYU",TRUE,"Marquis Montgomery","california"
952,"Bryce","Foster","IOL","Texas A&M","Kansas","2024-04-24T16:18:00.000Z",0.88,3,"Immediate","Kansas",TRUE,"Bryce Foster","texas-am"
953,"Destun","Thomas","WR","Memphis","Kennesaw State","2024-04-24T16:11:00.000Z",NA,3,"Immediate","Kennesaw State",TRUE,"Destun Thomas","memphis"
954,"Joey","Okla","IOL","Illinois","Wisconsin","2024-04-09T15:56:00.000Z",NA,3,"Immediate","Wisconsin",TRUE,"Joey Okla","illinois"
955,"Mehki","Wall","WR","Duke","North Carolina Central","2024-04-24T15:54:00.000Z",NA,3,"Immediate","North Carolina Central",TRUE,"Mehki Wall","duke"
956,"Armani-Eli","Adams","S","Florida Atlantic","Western Michigan","2024-04-24T15:26:00.000Z",0.85,3,"Immediate","Western Michigan",TRUE,"Armani-Eli Adams","florida-atlantic"
957,"Michael","Johnson Jr.","QB","Florida Atlantic","Syracuse","2024-04-24T15:22:00.000Z",0.84,3,"Immediate","Syracuse",TRUE,"Michael Johnson Jr.","florida-atlantic"
958,"Xavier","Williams","QB","UCF","Middle Tennessee","2024-04-24T14:59:00.000Z",0.83,3,"Immediate","Middle Tennessee",TRUE,"Xavier Williams","central-florida"
959,"Ethan","Hubbard","OT","Duke","South Alabama","2024-04-24T14:01:00.000Z",0.83,3,"Immediate","South Alabama",TRUE,"Ethan Hubbard","duke"
960,"Jacoby","Jones","WR","Ohio","UCF","2024-04-15T22:40:00.000Z",0.86,3,"Immediate","UCF",TRUE,"Jacoby Jones","ohio"
961,"Davion","Primm","RB","Michigan State","","2024-04-23T00:08:00.000Z",NA,3,"Immediate","Michigan State",FALSE,"Davion Primm","michigan-state"
962,"Victor","Pless","CB","Minnesota","Mercer","2024-04-22T23:33:00.000Z",NA,3,"Immediate","Mercer",TRUE,"Victor Pless","minnesota"
963,"Anthony","Switzer","S","Utah State","Arkansas","2024-04-22T20:33:00.000Z",0.87,3,"Immediate","Arkansas",TRUE,"Anthony Switzer","utah-state"
964,"Cameron","Warchuck","LS","Colorado","Washington","2024-04-22T18:45:00.000Z",NA,NA,"Immediate","Washington",TRUE,"Cameron Warchuck","colorado"
965,"Sam","Secrest","IOL","Louisville","Houston","2024-04-22T18:29:00.000Z",0.83,3,"Immediate","Houston",TRUE,"Sam Secrest","louisville"
966,"Zyheem","Coleman-Frazier","WR","Temple","Morgan State","2024-04-24T03:13:00.000Z",NA,NA,"Immediate","Morgan State",TRUE,"Zyheem Coleman-Frazier","temple"
967,"Jack","Nickel","TE","Michigan State","UAB","2024-04-23T20:50:00.000Z",NA,3,"Immediate","UAB",TRUE,"Jack Nickel","michigan-state"
968,"Griffin","Moore","TE","Illinois","Texas State","2024-04-23T20:45:00.000Z",NA,3,"Immediate","Texas State",TRUE,"Griffin Moore","illinois"
969,"Kameron","Hawkins","LS","Arizona","Colorado","2024-04-23T19:37:00.000Z",NA,2,"Immediate","Colorado",TRUE,"Kameron Hawkins","arizona"
970,"Tommy","Mirabella","IOL","San Diego State","","2023-12-01T01:29:00.000Z",NA,3,"Immediate","San Diego State",FALSE,"Tommy Mirabella","san-diego-state"
971,"Colton","Hood","CB","Auburn","Colorado","2024-04-23T19:35:00.000Z",0.86,3,"Immediate","Colorado",TRUE,"Colton Hood","auburn"
972,"Jalen","Berger","RB","Michigan State","","2024-04-23T19:34:00.000Z",0.85,3,"Immediate","Michigan State",FALSE,"Jalen Berger","michigan-state"
973,"Terrance","Brooks","CB","Texas","Illinois","2024-04-23T19:26:00.000Z",0.91,4,"Immediate","Illinois",TRUE,"Terrance Brooks","texas"
974,"Cooper","Lovelace","IOL","USC","Northwestern","2024-04-23T18:43:00.000Z",0.83,3,"Immediate","Northwestern",TRUE,"Cooper Lovelace","southern-california"
975,"David","Rowaiye","DL","New Mexico","","2024-04-23T18:38:00.000Z",NA,3,"Immediate","New Mexico",FALSE,"David Rowaiye","new-mexico"
976,"Quantaves","Gaskins","CB","Vanderbilt","","2024-04-23T18:36:00.000Z",NA,3,"Immediate","Vanderbilt",FALSE,"Quantaves Gaskins","vanderbilt"
977,"John","Motton","CB","Ohio","","2024-04-23T18:31:00.000Z",NA,2,"Immediate","Ohio",FALSE,"John Motton","ohio"
978,"Favor","Komolafe","IOL","Boise State","Georgia State","2024-04-23T18:27:00.000Z",0.8,3,"Immediate","Georgia State",TRUE,"Favor Komolafe","boise-state"
979,"Jake","Bruno","TE","Saint Francis (PA)","Ohio","2023-11-29T16:25:00.000Z",0.81,3,"Immediate","Ohio",TRUE,"Jake Bruno",NA
980,"Ender","Aguilar","OT","California","Tulsa","2024-04-23T18:24:00.000Z",NA,3,"Immediate","Tulsa",TRUE,"Ender Aguilar","california"
981,"Carson","Black","QB","Charlotte","","2024-04-23T18:19:00.000Z",NA,3,"Immediate","Charlotte",FALSE,"Carson Black","charlotte"
982,"Drew","Wilson","LS","Michigan State","Western Kentucky","2024-04-23T18:16:00.000Z",NA,NA,"Immediate","Western Kentucky",TRUE,"Drew Wilson","michigan-state"
983,"Sam","Graham","S","Arkansas State","","2024-04-23T18:12:00.000Z",NA,NA,"Immediate","Arkansas State",FALSE,"Sam Graham","arkansas-state"
984,"Jalen","Rayam","LB","Middle Tennessee","UTEP","2024-04-23T18:09:00.000Z",NA,3,"Immediate","UTEP",TRUE,"Jalen Rayam","middle-tennessee-state"
985,"Sosefo","Moeaki","DL","Nevada","Portland State","2024-04-23T18:04:00.000Z",NA,2,"Immediate","Portland State",TRUE,"Sosefo Moeaki","nevada"
986,"Bryce","Cohoon","WR","Syracuse","Kansas","2024-04-23T18:00:00.000Z",0.84,3,"Immediate","Kansas",TRUE,"Bryce Cohoon","syracuse"
987,"Ty","Gordon","DL","Syracuse","William & Mary","2024-04-23T17:58:00.000Z",NA,3,"Immediate","William & Mary",TRUE,"Ty Gordon","syracuse"
988,"Jayden","Hobson","OT","Mississippi State","South Alabama","2024-04-23T17:55:00.000Z",0.84,3,"Immediate","South Alabama",TRUE,"Jayden Hobson","mississippi-state"
989,"Elijah","Mc-Cantos","CB","Illinois","App State","2024-04-23T17:48:00.000Z",0.83,3,"Immediate","App State",TRUE,"Elijah Mc-Cantos","illinois"
990,"Zay","Alexander","OT","Mississippi State","Louisiana","2024-04-23T17:16:00.000Z",0.87,3,"Immediate","Louisiana",TRUE,"Zay Alexander","mississippi-state"
991,"Khurtiss","Perry","DL","Alabama","Virginia Tech","2024-04-23T17:14:00.000Z",0.88,3,"Immediate","Virginia Tech",TRUE,"Khurtiss Perry","alabama"
992,"Micah","Bell","CB","Notre Dame","Vanderbilt","2024-04-23T17:04:00.000Z",0.87,3,"Immediate","Vanderbilt",TRUE,"Micah Bell","notre-dame"
993,"Chase","Atkinson","S","Coastal Carolina","","2024-04-23T17:00:00.000Z",NA,3,"Immediate","Coastal Carolina",FALSE,"Chase Atkinson","coastal-carolina"
994,"John","Emery Jr.","RB","LSU","LSU","2024-04-23T16:36:00.000Z",0.86,3,"Immediate","LSU",TRUE,"John Emery Jr.","louisiana-state"
995,"Jo","Cryer","IOL","LSU","Southern Miss","2024-04-23T16:14:00.000Z",0.86,3,"Immediate","Southern Miss",TRUE,"Jo Cryer","louisiana-state"
996,"Jason","Essex","WR","Iowa State","Tarleton State","2024-04-23T16:03:00.000Z",NA,3,"Immediate","Tarleton State",TRUE,"Jason Essex","iowa-state"
997,"Jaylen","Varner","WR","Minnesota","","2024-04-29T18:13:00.000Z",0.85,3,"Immediate","Minnesota",FALSE,"Jaylen Varner","minnesota"
998,"Jaden","Moore","WR","USC","","2024-04-23T16:00:00.000Z",NA,2,"Immediate","USC",FALSE,"Jaden Moore","southern-california"
999,"Jared","Harrison-Hunte","DL","Miami","SMU","2024-04-23T15:59:00.000Z",0.87,3,"Immediate","SMU",TRUE,"Jared Harrison-Hunte","miami-fl"
1000,"Jaremiah","Anglin Jr.","S","Kentucky","Pittsburgh","2024-04-23T15:56:00.000Z",0.87,3,"Immediate","Pittsburgh",TRUE,"Jaremiah Anglin Jr.","kentucky"
1001,"David","Holloman","RB","Indiana","Grand Valley State University","2024-04-23T15:30:00.000Z",NA,3,"Immediate","Grand Valley State University",TRUE,"David Holloman","indiana"
1002,"Sy'veon","Wilkerson","RB","Colorado","Georgia State","2024-04-23T15:26:00.000Z",0.85,3,"Immediate","Georgia State",TRUE,"Sy'veon Wilkerson","colorado"
1003,"Jaylon","Barden","WR","Georgia Southern","Samford","2024-04-23T15:19:00.000Z",NA,4,"Immediate","Samford",TRUE,"Jaylon Barden","georgia-southern"
1004,"Brendan","Sullivan","QB","Northwestern","Iowa","2024-04-23T14:24:00.000Z",0.85,3,"Immediate","Iowa",TRUE,"Brendan Sullivan","northwestern"
1005,"Deacon","Hill","QB","Iowa","Utah Tech","2024-04-23T14:04:00.000Z",0.82,3,"Immediate","Utah Tech",TRUE,"Deacon Hill","iowa"
1006,"Camron","Douglas","DL","Tennessee","Tennessee State","2024-04-23T13:27:00.000Z",NA,3,"Immediate","Tennessee State",TRUE,"Camron Douglas","tennessee"
1007,"Malik","Ganaway","CB","Tennessee","Tennessee State","2024-04-23T13:27:00.000Z",NA,NA,"Immediate","Tennessee State",TRUE,"Malik Ganaway","tennessee"
1008,"Sammy","Malignaggi","RB","James Madison","Campbell","2024-04-23T12:58:00.000Z",NA,NA,"Immediate","Campbell",TRUE,"Sammy Malignaggi","james-madison"
1009,"Jamarrien","Burt","S","South Alabama","","2024-04-22T22:50:00.000Z",NA,3,"Immediate","South Alabama",FALSE,"Jamarrien Burt","south-alabama"
1010,"Savion","Red","RB","Texas","Nevada","2024-04-22T22:21:00.000Z",0.86,3,"Immediate","Nevada",TRUE,"Savion Red","texas"
1011,"Luke","Rucker","QB","Florida Atlantic","South Florida","2024-04-22T18:47:00.000Z",NA,3,"Immediate","South Florida",TRUE,"Luke Rucker","florida-atlantic"
1012,"BK","Jackson","RB","North Texas","","2023-12-04T17:32:00.000Z",NA,3,"Immediate","North Texas",FALSE,"BK Jackson","north-texas"
1013,"Travis","Throckmorton","QB","Oregon State","","2024-04-22T18:45:00.000Z",NA,3,"Immediate","Oregon State",FALSE,"Travis Throckmorton","oregon-state"
1014,"Hunter","Summers","WR","Tulane","Arkansas State","2024-04-22T14:10:00.000Z",0.83,3,"Immediate","Arkansas State",TRUE,"Hunter Summers","tulane"
1015,"Carter","Neuman","TE","Oregon State","Bryant","2024-04-22T14:07:00.000Z",NA,2,"Immediate","Bryant",TRUE,"Carter Neuman","oregon-state"
1016,"Jaylen","Martin","CB","Utah State","","2024-04-22T14:05:00.000Z",NA,3,"Immediate","Utah State",FALSE,"Jaylen Martin","utah-state"
1017,"Aluma","Nkele","OT","UTEP","Minnesota","2024-04-22T14:04:00.000Z",0.86,3,"Immediate","Minnesota",TRUE,"Aluma Nkele","texas-el-paso"
1018,"Eli","Ntsasa","S","South Alabama","","2024-04-22T14:01:00.000Z",NA,NA,"Immediate","South Alabama",FALSE,"Eli Ntsasa","south-alabama"
1019,"Keshon","Artis","LB","Northern Illinois","","2024-04-22T13:55:00.000Z",NA,4,"Immediate","Northern Illinois",FALSE,"Keshon Artis","northern-illinois"
1020,"Quentin","Moten","CB","UNLV","","2024-04-22T13:37:00.000Z",NA,2,"Immediate","UNLV",FALSE,"Quentin Moten","nevada-las-vegas"
1021,"DJ","Jones","OT","Murray State","UAB","2023-12-04T06:00:00.000Z",0.83,3,"Immediate","UAB",TRUE,"DJ Jones",NA
1022,"Christopher","Townsel","CB","South Florida","Kennesaw State","2024-04-17T20:48:00.000Z",0.83,3,"Immediate","Kennesaw State",TRUE,"Christopher Townsel","south-florida"
1023,"Jay'viar","Suggs","DL","Grand Valley State University","LSU","2024-04-21T12:39:00.000Z",0.87,3,"Immediate","LSU",TRUE,"Jay'viar Suggs",NA
1024,"Vincent","Genatone","LB","Montana","Nebraska","2024-04-18T00:06:00.000Z",NA,NA,"Immediate","Nebraska",TRUE,"Vincent Genatone",NA
1025,"Brody","Richter","P","Northern Arizona","UCLA","2024-04-16T23:19:00.000Z",NA,NA,"Immediate","UCLA",TRUE,"Brody Richter",NA
1026,"CJ","Hester","RB","Western Michigan","Massachusetts","2024-04-16T02:32:00.000Z",NA,3,"Immediate","Massachusetts",TRUE,"CJ Hester","western-michigan"
1027,"Mitch","Griffis","QB","Wake Forest","Marshall","2023-11-28T16:51:00.000Z",0.86,3,"Immediate","Marshall",TRUE,"Mitch Griffis","wake-forest"
1028,"Luca","Rodarte","LS","Washington State","Nevada","2023-11-17T15:29:00.000Z",NA,NA,"Immediate","Nevada",TRUE,"Luca Rodarte","washington-state"
1029,"Bryce","Childress","WR","Troy","Western Kentucky","2024-04-08T05:00:00.000Z",0.83,3,"Immediate","Western Kentucky",TRUE,"Bryce Childress","troy"
1030,"Travis","Drosos","LS","South Alabama","UCLA","2024-01-23T06:00:00.000Z",NA,NA,"Immediate","UCLA",TRUE,"Travis Drosos","south-alabama"
1031,"Ky","Woods","RB","Texas","Nevada","2024-04-22T23:21:00.000Z",NA,3,"Immediate","Nevada",TRUE,"Ky Woods","texas"
1032,"RJ","Whitehead","IOL","Tulane","UTEP","2024-04-22T23:20:00.000Z",NA,2,"Immediate","UTEP",TRUE,"RJ Whitehead","tulane"
1033,"Dillon","Mong","TE","Kansas","","2024-04-22T23:20:00.000Z",NA,NA,"Immediate","Kansas",FALSE,"Dillon Mong","kansas"
1034,"Carnell","Davis","S","Rutgers","Duquesne","2023-12-04T14:11:00.000Z",NA,3,"Immediate","Duquesne",TRUE,"Carnell Davis","rutgers"
1035,"Brandon","Johnson","CB","Duke","Oregon","2023-12-13T19:20:00.000Z",0.89,3,"Immediate","Oregon",TRUE,"Brandon Johnson","duke"
1036,"Mike","Wright","QB","Mississippi State","Northwestern","2024-04-22T23:00:00.000Z",0.84,3,"Immediate","Northwestern",TRUE,"Mike Wright","mississippi-state"
1037,"Orion","Peters","WR","Washington State","Idaho","2023-12-24T07:56:00.000Z",NA,3,"Immediate","Idaho",TRUE,"Orion Peters","washington-state"
1038,"Jamarcus","Jones","LB","UAB","Louisiana Tech","2023-12-04T14:49:00.000Z",0.81,3,"Immediate","Louisiana Tech",TRUE,"Jamarcus Jones","alabama-birmingham"
1039,"Jaden","Voisin","S","South Alabama","","2023-12-24T16:34:00.000Z",0.88,3,"Withdrawn","South Alabama",FALSE,"Jaden Voisin","south-alabama"
1040,"Javon","Gipson","WR","Baylor","Abilene Christian","2024-04-22T20:37:00.000Z",NA,3,"Immediate","Abilene Christian",TRUE,"Javon Gipson","baylor"
1041,"Logan","Lester","WR","Western Michigan","","2024-04-22T20:35:00.000Z",NA,3,"Immediate","Western Michigan",FALSE,"Logan Lester","western-michigan"
1042,"Tremel","States-Jones","S","South Alabama","Rhode Island","2024-04-22T20:32:00.000Z",NA,2,"Immediate","Rhode Island",TRUE,"Tremel States-Jones","south-alabama"
1043,"AJ","Jayroe","WR","Louisiana","Weber State","2024-04-22T20:30:00.000Z",NA,3,"Immediate","Weber State",TRUE,"AJ Jayroe",NA
1044,"Wesley","Steiner","LB","Auburn","Washington State","2024-04-22T20:25:00.000Z",0.86,3,"Immediate","Washington State",TRUE,"Wesley Steiner","auburn"
1045,"Ben","Finley","QB","California","Akron","2023-11-29T01:04:00.000Z",0.83,3,"Immediate","Akron",TRUE,"Ben Finley","california"
1046,"Ed","Woods","CB","Arizona State","Michigan State","2024-04-22T20:25:00.000Z",0.88,3,"Immediate","Michigan State",TRUE,"Ed Woods","arizona-state"
1047,"Carlos","Alvarado","K","Army","Texas State","2024-04-22T20:23:00.000Z",NA,NA,"Immediate","Texas State",TRUE,"Carlos Alvarado","army"
1048,"Isaiah","Newell","RB","Oregon State","","2024-04-22T20:21:00.000Z",NA,3,"Immediate","Oregon State",FALSE,"Isaiah Newell","oregon-state"
1049,"EJ","Smith","RB","Stanford","Texas A&M","2023-11-29T00:50:00.000Z",0.86,3,"Immediate","Texas A&M",TRUE,"EJ Smith","stanford"
1050,"Tylan","Dunn","S","Memphis","Albany State","2024-04-22T20:19:00.000Z",NA,NA,"Immediate","Albany State",TRUE,"Tylan Dunn","memphis"
1051,"Marcus","Hicks","OT","Oklahoma","South Dakota State","2023-11-16T22:23:00.000Z",0.84,3,"Immediate","South Dakota State",TRUE,"Marcus Hicks","oklahoma"
1052,"Will","James","S","Mississippi State","Southern Miss","2023-11-16T18:17:00.000Z",0.84,3,"Immediate","Southern Miss",TRUE,"Will James","mississippi-state"
1053,"Mike","Franklin","RB","UTEP","","2024-04-22T20:16:00.000Z",NA,3,"Immediate","UTEP",FALSE,"Mike Franklin","texas-el-paso"
1054,"Shane","Illingworth","QB","Nevada","","2024-04-22T19:17:00.000Z",NA,3,"Immediate","Nevada",FALSE,"Shane Illingworth","nevada"
1055,"Michael","Marotta","IOL","Valdosta State","App State","2023-12-04T23:34:00.000Z",0.84,3,"Immediate","App State",TRUE,"Michael Marotta",NA
1056,"Ethan","Moczulski","K","Texas A&M","Illinois","2024-04-22T19:08:00.000Z",NA,3,"Immediate","Illinois",TRUE,"Ethan Moczulski","texas-am"
1057,"Lorando","Johnson","CB","Arkansas","Baylor","2024-04-22T19:00:00.000Z",0.86,3,"Immediate","Baylor",TRUE,"Lorando Johnson","arkansas"
1058,"Darius","McClendon","S","Florida Atlantic","Bowling Green","2024-04-22T18:59:00.000Z",0.86,3,"Immediate","Bowling Green",TRUE,"Darius McClendon","florida-atlantic"
1059,"Christian","Richter","OT","Lehigh","Marshall","2023-12-04T06:00:00.000Z",0.82,3,"Immediate","Marshall",TRUE,"Christian Richter",NA
1060,"Ken","Seals","QB","Vanderbilt","TCU","2023-11-29T16:40:00.000Z",0.87,3,"Immediate","TCU",TRUE,"Ken Seals","vanderbilt"
1061,"Bryce","Pierre","TE","Arizona State","UCLA","2024-04-22T18:55:00.000Z",0.85,3,"Immediate","UCLA",TRUE,"Bryce Pierre","arizona-state"
1062,"JJ","Hawkins","DL","Colorado","Marshall","2024-04-22T18:48:00.000Z",NA,3,"Immediate","Marshall",TRUE,"JJ Hawkins","colorado"
1063,"Rayquon","Hartley","LB","Middle Tennessee","","2024-04-22T18:25:00.000Z",NA,3,"Immediate","Middle Tennessee",FALSE,"Rayquon Hartley","middle-tennessee-state"
1064,"Jordan","Nabors","WR","Baylor","Stephen F. Austin","2024-04-22T18:09:00.000Z",NA,3,"Immediate","Stephen F. Austin",TRUE,"Jordan Nabors","baylor"
1065,"Kamarro","Edmonds","RB","East Carolina","","2024-04-22T18:06:00.000Z",NA,4,"Immediate","East Carolina",FALSE,"Kamarro Edmonds","east-carolina"
1066,"Sean","Brown","CB","Michigan State","","2024-04-22T18:00:00.000Z",NA,3,"Immediate","Michigan State",FALSE,"Sean Brown","michigan-state"
1067,"Davon","Banks","CB","Washington","Boise State","2024-04-22T17:51:00.000Z",0.85,3,"Immediate","Boise State",TRUE,"Davon Banks","washington"
1068,"Israel","Polk","WR","Pittsburgh","Akron","2024-04-22T17:49:00.000Z",0.86,3,"Immediate","Akron",TRUE,"Israel Polk","pittsburgh"
1069,"Justin","Harrington","S","Oklahoma","Washington","2024-04-22T17:30:00.000Z",0.86,3,"TBD","Washington",TRUE,"Justin Harrington","oklahoma"
1070,"Taylor","Love","LB","Tulane","Tennessee Tech","2024-04-22T17:24:00.000Z",NA,3,"Immediate","Tennessee Tech",TRUE,"Taylor Love","tulane"
1071,"Tawfiq","Thomas","DL","Louisville","Colorado","2024-04-22T17:23:00.000Z",0.84,3,"Immediate","Colorado",TRUE,"Tawfiq Thomas","louisville"
1072,"Jaden","Bradley","WR","Charlotte","UNLV","2024-04-22T17:20:00.000Z",NA,3,"Immediate","UNLV",TRUE,"Jaden Bradley","charlotte"
1073,"Lajuan","Owens","IOL","Tulane","New Mexico","2024-04-22T16:38:00.000Z",0.8,3,"Immediate","New Mexico",TRUE,"Lajuan Owens","tulane"
1074,"Maxie","Baudoin IV","DL","Tulane","Louisiana","2024-04-22T16:36:00.000Z",NA,3,"Immediate","Louisiana",TRUE,"Maxie Baudoin IV","tulane"
1075,"Nakai","Poole","WR","Mississippi State","James Madison","2023-11-16T17:12:00.000Z",0.86,3,"Immediate","James Madison",TRUE,"Nakai Poole","mississippi-state"
1076,"Jameson","Wharton","CB","Vanderbilt","Tennessee Tech","2024-04-22T16:33:00.000Z",NA,3,"Immediate","Tennessee Tech",TRUE,"Jameson Wharton","vanderbilt"
1077,"Jackson","Smith","K","Kentucky","Western Kentucky","2024-04-22T16:32:00.000Z",NA,2,"Immediate","Western Kentucky",TRUE,"Jackson Smith","kentucky"
1078,"Caden","Veltkamp","QB","Western Kentucky","","2023-12-04T15:36:00.000Z",NA,3,"Withdrawn","Western Kentucky",FALSE,"Caden Veltkamp","western-kentucky"
1079,"Jay","Fair","WR","Auburn","USC","2024-04-22T16:03:00.000Z",0.87,3,"Immediate","USC",TRUE,"Jay Fair","auburn"
1080,"Zack","Owens","IOL","Clemson","Colorado","2024-04-22T15:40:00.000Z",0.88,3,"Immediate","Colorado",TRUE,"Zack Owens","clemson"
1081,"Tyshawn","Wyatt","OT","James Madison","","2023-12-04T15:33:00.000Z",NA,3,"Withdrawn","James Madison",FALSE,"Tyshawn Wyatt","james-madison"
1082,"Tyler","Leinberger","OT","Massachusetts","Hampton","2023-12-01T20:21:00.000Z",NA,2,"Immediate","Hampton",TRUE,"Tyler Leinberger","massachusetts"
1083,"Cam","Pedro","WR","Marshall","Southeast Missouri State","2024-04-16T09:57:00.000Z",NA,3,"Immediate","Southeast Missouri State",TRUE,"Cam Pedro","marshall"
1084,"Ardell","Banks","WR","Kentucky","Kent State","2024-04-22T15:29:00.000Z",NA,3,"Immediate","Kent State",TRUE,"Ardell Banks","kentucky"
1085,"Darien","Clayborne","RB","Alabama","","2024-04-22T15:29:00.000Z",NA,NA,"Immediate","Alabama",FALSE,"Darien Clayborne","alabama"
1086,"Iverson","Celestine","RB","Tulane","South Alabama","2024-04-22T15:26:00.000Z",NA,3,"Immediate","South Alabama",TRUE,"Iverson Celestine","tulane"
1087,"Kellen","McDonough","OT","Eastern Michigan","Duquesne","2024-04-22T14:44:00.000Z",NA,3,"Immediate","Duquesne",TRUE,"Kellen McDonough","eastern-michigan"
1088,"Keylen","Gulley","CB","Eastern Michigan","","2024-04-17T18:39:00.000Z",NA,NA,"Immediate","Eastern Michigan",FALSE,"Keylen Gulley","eastern-michigan"
1089,"Ja'Khi","Green","IOL","Charlotte","UConn","2024-04-22T14:20:00.000Z",0.84,3,"Immediate","UConn",TRUE,"Ja'Khi Green","charlotte"
1090,"Adam","Hopkins","CB","Colorado","Charlotte","2024-04-22T14:10:00.000Z",0.86,3,"Immediate","Charlotte",TRUE,"Adam Hopkins","colorado"
1091,"Luke","Burgess","OT","Louisville","App State","2024-04-22T13:45:00.000Z",0.87,3,"Immediate","App State",TRUE,"Luke Burgess","louisville"
1092,"Jaylin","Alderman","LB","Louisville","Miami","2024-04-22T13:43:00.000Z",0.87,3,"Immediate","Miami",TRUE,"Jaylin Alderman","louisville"
1093,"Jaylen","Jenkins","RB","Washington State","Texas State","2023-12-04T18:56:00.000Z",0.84,3,"Immediate","Texas State",TRUE,"Jaylen Jenkins","washington-state"
1094,"Antonio","Robinson","WR","Marshall","","2024-04-21T14:56:00.000Z",NA,2,"Immediate","Marshall",FALSE,"Antonio Robinson","marshall"
1095,"Stantavious","Smith","DL","South Florida","Florida A&M","2024-04-17T18:33:00.000Z",NA,3,"Immediate","Florida A&M",TRUE,"Stantavious Smith","south-florida"
1096,"Davian","Mayo","LB","Bowling Green","Central Arkansas","2024-04-21T14:34:00.000Z",NA,3,"Immediate","Central Arkansas",TRUE,"Davian Mayo","bowling-green-state"
1097,"Kamsi","Arinze","LB","Houston","Coffeyville C.C.","2024-04-21T14:27:00.000Z",NA,NA,"Immediate","Coffeyville C.C.",TRUE,"Kamsi Arinze","houston"
1098,"Max","Patterson","WR","Rutgers","Delaware","2023-12-04T14:15:00.000Z",NA,3,"Immediate","Delaware",TRUE,"Max Patterson","rutgers"
1099,"Jacoby","Bellazar","WR","Mississippi State","Grambling","2023-11-16T00:11:00.000Z",NA,3,"Immediate","Grambling",TRUE,"Jacoby Bellazar","mississippi-state"
1100,"Rico","Barfield","RB","Ball State","Northwest Missouri St","2023-12-04T14:15:00.000Z",NA,3,"Immediate","Northwest Missouri St",TRUE,"Rico Barfield","ball-state"
1101,"Gerald","Campbell","WR","Marshall","","2024-04-21T14:24:00.000Z",NA,NA,"Immediate","Marshall",FALSE,"Gerald Campbell","marshall"
1102,"Conner","Noah","RB","Nevada","","2024-04-19T18:44:00.000Z",NA,3,"Immediate","Nevada",FALSE,"Conner Noah","nevada"
1103,"Julien","Lewis","WR","Louisiana Tech","","2024-04-19T14:55:00.000Z",NA,NA,"Immediate","Louisiana Tech",FALSE,"Julien Lewis","louisiana-tech"
1104,"Deyunkrea","Lewis","TE","Troy","","2024-04-19T14:49:00.000Z",NA,3,"Immediate","Troy",FALSE,"Deyunkrea Lewis","troy"
1105,"Josh","Emmanuel","LB","Texas State","Incarnate Word","2024-04-19T14:45:00.000Z",NA,2,"Immediate","Incarnate Word",TRUE,"Josh Emmanuel","texas-state"
1106,"Kyle","Vaccarella","LS","Auburn","","2024-04-17T18:29:00.000Z",NA,NA,"Immediate","Auburn",FALSE,"Kyle Vaccarella","auburn"
1107,"Avery","Ellis","LB","Utah State","","2024-04-19T14:42:00.000Z",NA,3,"Immediate","Utah State",FALSE,"Avery Ellis","utah-state"
1108,"Jacques","Badolato-Birdsell","RB","Nevada","Portland State","2024-04-19T14:39:00.000Z",NA,3,"Immediate","Portland State",TRUE,"Jacques Badolato-Birdsell","nevada"
1109,"Cristian","Dixon","WR","Michigan","","2024-04-17T17:35:00.000Z",0.85,3,"Immediate","Michigan",FALSE,"Cristian Dixon","michigan"
1110,"Dorian","Blackwell","CB","Nevada","Maine","2024-04-19T14:37:00.000Z",NA,2,"Immediate","Maine",TRUE,"Dorian Blackwell","nevada"
1111,"Walter","Taylor III","QB","Vanderbilt","Colorado","2023-12-04T14:14:00.000Z",0.88,3,"Immediate","Colorado",TRUE,"Walter Taylor III","vanderbilt"
1112,"Anthony","Cunningham","DL","Iowa State","Jackson State","2024-04-05T20:18:00.000Z",NA,3,"Immediate","Jackson State",TRUE,"Anthony Cunningham","iowa-state"
1113,"Wyatt","McClour","TE","New Mexico","UL Monroe","2023-12-04T19:56:00.000Z",0.82,3,"Immediate","UL Monroe",TRUE,"Wyatt McClour","new-mexico"
1114,"Corey","Swiney","S","North Texas","","2024-04-18T03:04:00.000Z",NA,NA,"Immediate","North Texas",FALSE,"Corey Swiney","north-texas"
1115,"Brody","Glenn","WR","Ball State","","2024-04-18T02:44:00.000Z",NA,NA,"Immediate","Ball State",FALSE,"Brody Glenn","ball-state"
